id,instruction,instrument,piece_type,audio_setting,mistake_category,options,answer,audio_path
2ec8dd04-8364-45eb-ab0e-fbc3caefb68a,"Play a one-octave C major scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,pitch,"harmony, pitch, rhythm_and_timing, no_mistake",pitch,data/processed/mcq/audio/2ec8dd04-8364-45eb-ab0e-fbc3caefb68a.wav
c56d68d7-091e-4596-9959-e0549c9e9f63,"Play a one-octave C major scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,tempo,"no_mistake, tempo, rhythm_and_timing, dynamics",tempo,data/processed/mcq/audio/c56d68d7-091e-4596-9959-e0549c9e9f63.wav
99f07678-7f93-42b6-bb72-092ad2521cc5,"Play a one-octave A harmonic minor scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,pitch,"no_mistake, rhythm_and_timing, pitch, harmony",pitch,data/processed/mcq/audio/99f07678-7f93-42b6-bb72-092ad2521cc5.wav
4a6ec647-1f0b-495c-b5f4-6a3c7fcdc6bf,"Play a one-octave A harmonic minor scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,no_mistake,"no_mistake, technique, pitch, tempo",no_mistake,data/processed/mcq/audio/4a6ec647-1f0b-495c-b5f4-6a3c7fcdc6bf.wav
abfa851e-756e-4de3-b00a-43594e806225,"Down-strum an Am chord eight times, one strum per beat, at a steady tempo.",guitar,exercise,single,rhythm_and_timing,"pitch, no_mistake, rhythm_and_timing, tempo",rhythm_and_timing,data/processed/mcq/audio/abfa851e-756e-4de3-b00a-43594e806225.wav
6de4ace3-3d1c-4dea-a22c-ee76ddfd830a,"Play a one-octave D major scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,no_mistake,"tempo, technique, pitch, no_mistake",no_mistake,data/processed/mcq/audio/6de4ace3-3d1c-4dea-a22c-ee76ddfd830a.wav
0abd39af-6a3e-4ca6-b238-5f6ef27f55ad,"Play a one-octave D major scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,pitch,"pitch, no_mistake, harmony, rhythm_and_timing",pitch,data/processed/mcq/audio/0abd39af-6a3e-4ca6-b238-5f6ef27f55ad.wav
3ac18e62-1bb9-42d6-ab7b-387029de9047,"Play a one-octave D major scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,dynamics,"no_mistake, articulation, dynamics, technique",dynamics,data/processed/mcq/audio/3ac18e62-1bb9-42d6-ab7b-387029de9047.wav
bcc942eb-76e6-4c92-838c-4e9bdb12ebb4,"Play a one-octave D major scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,tempo,"dynamics, rhythm_and_timing, tempo, no_mistake",tempo,data/processed/mcq/audio/bcc942eb-76e6-4c92-838c-4e9bdb12ebb4.wav
4fafa1a4-d052-426a-a9ab-1ac3a424a28c,"Listen to the reference and play the same excerpt from ""Creep"".",guitar,song_excerpt,double,technique,"articulation, no_mistake, dynamics, technique",technique,data/processed/mcq/audio/4fafa1a4-d052-426a-a9ab-1ac3a424a28c.wav
