id,instruction,instrument,piece_type,audio_setting,mistake_category,mistake,feedback,audio_path
2ec8dd04-8364-45eb-ab0e-fbc3caefb68a,"Play a one-octave C major scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,pitch,The 7th note is played as A# instead of B on both the ascending and descending scale.,"Replace A# with B on the 7th note. Practice the scale slowly, one note per beat, until the correct note is consistent in both directions.",data/processed/open_ended/audio/2ec8dd04-8364-45eb-ab0e-fbc3caefb68a.wav
c56d68d7-091e-4596-9959-e0549c9e9f63,"Play a one-octave C major scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,tempo,"The tempo is uneven, with some notes rushed and others delayed.","Use a metronome and play one note per beat. Slow down until every note is evenly spaced, then increase tempo gradually.",data/processed/open_ended/audio/c56d68d7-091e-4596-9959-e0549c9e9f63.wav
99f07678-7f93-42b6-bb72-092ad2521cc5,"Play a one-octave A harmonic minor scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,pitch,The 7th note is played as G instead of G# on both the ascending and descending scale.,"Replace G with G# on the 7th note. Practice slowly, one note per beat, until the correct note is consistent in both directions.",data/processed/open_ended/audio/99f07678-7f93-42b6-bb72-092ad2521cc5.wav
4a6ec647-1f0b-495c-b5f4-6a3c7fcdc6bf,"Play a one-octave A harmonic minor scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,no_mistake,,,data/processed/open_ended/audio/4a6ec647-1f0b-495c-b5f4-6a3c7fcdc6bf.wav
abfa851e-756e-4de3-b00a-43594e806225,"Down-strum an Am chord eight times, one strum per beat, at a steady tempo.",guitar,exercise,single,rhythm_and_timing,The 5th strum is noticeably rushed and comes earlier than it should.,"Keep the pulse steady. Count aloud and slow down until the 5th strum lands reliably on its beat, then gradually return to tempo.",data/processed/open_ended/audio/abfa851e-756e-4de3-b00a-43594e806225.wav
6de4ace3-3d1c-4dea-a22c-ee76ddfd830a,"Play a one-octave D major scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,no_mistake,,,data/processed/open_ended/audio/6de4ace3-3d1c-4dea-a22c-ee76ddfd830a.wav
0abd39af-6a3e-4ca6-b238-5f6ef27f55ad,"Play a one-octave D major scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,pitch,The 3rd note is played as F instead of F# on both the ascending and descending scale.,"Replace F with F# whenever that note occurs in the D major scale. Practice the scale slowly up and down, one note per beat, until F# is consistent in both directions.",data/processed/open_ended/audio/0abd39af-6a3e-4ca6-b238-5f6ef27f55ad.wav
3ac18e62-1bb9-42d6-ab7b-387029de9047,"Play a one-octave D major scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,dynamics,There is a clear loudness difference between the ascending and descending parts.,Aim for the same loudness in both directions. Practice slowly and adjust your picking so the ascending and descending notes match in volume.,data/processed/open_ended/audio/3ac18e62-1bb9-42d6-ab7b-387029de9047.wav
bcc942eb-76e6-4c92-838c-4e9bdb12ebb4,"Play a one-octave D major scale, ascending and descending, at a steady tempo, one note per beat.",guitar,exercise,single,tempo,"The tempo slows down in the middle of the scale, then speeds up again.","Use a metronome and keep the tempo steady through the middle of the scale. Slow down until every note is evenly spaced, then increase the tempo gradually.",data/processed/open_ended/audio/bcc942eb-76e6-4c92-838c-4e9bdb12ebb4.wav
4fafa1a4-d052-426a-a9ab-1ac3a424a28c,"Listen to the reference and play the same excerpt from ""Creep"".",guitar,song_excerpt,double,technique,The 2nd chord (B chord) and the 4th chord (Cm chord) do not ring clearly and sound muted.,"Strum each chord, then pick the strings one by one. Adjust finger placement and pressure until every string rings clearly.",data/processed/open_ended/audio/4fafa1a4-d052-426a-a9ab-1ac3a424a28c.wav
